--------------------------------------- Conditional Heritability Estimates: trait1  ----------------------------------------------------------------------------------------
traitName                        sibH2   range      size     h2Init     h2Iter    h2CiLo    h2CiHi
trait1                           sibH2    0-99     10000      0.765      0.761      0.73      0.79
trait1                           sibH2    5-95      9189      0.835       0.83       0.8      0.86
trait1                           sibH2   35-65      3064       0.82      0.813      0.72       0.9
trait1                           sibH2    5-40      3562       0.84       0.84       0.8      0.88
trait1                           sibH2   60-95      3651      0.845      0.842       0.8      0.89
trait1                           sibH2     0-4       419      0.655      0.656       0.6      0.72
trait1                           sibH2  96-100       392       0.62       0.62      0.55      0.69
--------------------------------------- Inferred Tail Architecture: trait1 ------------------------------------------------------------------------------------------------
traitName                    tailTests    tail      size     idxAvg     distPv    novoPv   novoObs   novoExp    mendPv   mendObs   mendExp  novoRate  mendRate  polyRate
trait1                       tailTests       0       103     -2.603   3.58e-07  2.29e-09    -0.772    -1.297    0.5810         8     8.573     0.470     0.010     0.520
trait1                       tailTests     0-1       206     -2.153   3.06e-05  1.51e-05    -0.872    -1.136    0.9603        20    28.722     0.290     0.020     0.690
trait1                       tailTests     0-2       315     -1.921     0.0013    0.0004    -0.862    -1.034    0.9150        45    54.193     0.220     0.020     0.760
trait1                       tailTests     0-3       310     -1.755     0.0004  8.76e-05    -0.816    -1.010    0.9577        54    66.459     0.250     0.020     0.730
trait1                       tailTests     0-4       513     -1.627     0.0008    0.0001    -0.769    -0.917    0.9868        94   114.963     0.190     0.010     0.800
trait1                       tailTests   95-99       500      1.561     0.0327    0.0006     0.721     0.852    0.9866        91   111.626     0.200     0.000     0.800
trait1                       tailTests   96-99       392      1.672     0.0618    0.0076     0.790     0.902    0.9364        68    80.183     0.200     0.000     0.800
trait1                       tailTests   97-99       293      1.807     0.0260  5.28e-05     0.757     0.964    0.9962        36    53.700     0.240     0.000     0.760
trait1                       tailTests   98-99       197      2.005     0.0006  1.30e-07     0.715     1.049    0.9957        17    30.310     0.330     0.000     0.670
trait1                       tailTests      99       107      2.355   9.52e-06  2.24e-12     0.573     1.182    0.9895         4    11.347     0.510     0.000     0.490

