--------------------------------------- Conditional Heritability Estimates: trait2  ----------------------------------------------------------------------------------------
traitName                        sibH2   range      size     h2Init     h2Iter    h2CiLo    h2CiHi
trait2                           sibH2    0-99     10105      0.845      0.849      0.83      0.87
trait2                           sibH2    5-95      9324       0.84      0.844      0.82      0.87
trait2                           sibH2   35-65      3099      0.835      0.838      0.77       0.9
trait2                           sibH2    5-40      3607      0.825      0.838       0.8      0.88
trait2                           sibH2   60-95      3713       0.86      0.855      0.82      0.89
trait2                           sibH2     0-4       420       0.78      0.789      0.73      0.85
trait2                           sibH2  96-100       361       0.92      0.929      0.87      0.99
--------------------------------------- Inferred Tail Architecture: trait2 ------------------------------------------------------------------------------------------------
traitName                    tailTests    tail      size     idxAvg     distPv    novoPv   novoObs   novoExp    mendPv   mendObs   mendExp  novoRate  mendRate  polyRate
trait2                       tailTests       0       104     -2.587     0.3964    0.1353    -1.206    -1.304    0.2208        11     8.814     0.010     0.000     0.990
trait2                       tailTests     0-1       208     -2.157     0.6253    0.3767    -1.128    -1.147    0.5026        29    29.033     0.040     0.000     0.960
trait2                       tailTests     0-2       316     -1.924     0.6327    0.2492    -1.014    -1.048    0.5543        54    54.920     0.070     0.010     0.920
trait2                       tailTests     0-3       312     -1.762     0.3319    0.3474    -1.003    -1.023    0.4018        69    67.194     0.050     0.000     0.950
trait2                       tailTests     0-4       515     -1.634     0.4132    0.2408    -0.903    -0.931    0.5028       116   116.067     0.070     0.000     0.930
trait2                       tailTests   95-99       462      1.650   5.71e-06    1.0000     1.245     0.940    0.0002       136   103.691     0.130     0.180     0.690
trait2                       tailTests   96-99       361      1.782   4.56e-07    1.0000     1.375     1.002  8.32e-07       110    73.372     0.140     0.210     0.650
trait2                       tailTests   97-99       258      1.954   1.51e-07    1.0000     1.526     1.088  8.49e-09        81    46.250     0.160     0.240     0.600
trait2                       tailTests   98-99       170      2.250   1.76e-12    1.0000     1.825     1.200  6.52e-22        65    22.671     0.210     0.310     0.480
trait2                       tailTests      99        60      2.808   3.26e-15    1.0000     2.720     1.498  5.25e-49        36     4.897     0.140     0.520     0.340

